KEY,FREQ,REF_AREA,ADJUSTMENT,FVC_REP_SECTOR,FVC_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,FVC_ORI_SECTOR,CURRENCY_TRANS,BS_SUFFIX
FVC.Q.LU.N.S.A50.A.1.A1.0000.ZZ.Z01.E,Q,LU,N,S,A50,A,1,A1,0000,ZZ,Z01,E
FVC.Q.LU.N.O.L40.A.I.A1.0000.ZZ.Z01.A,Q,LU,N,O,L40,A,I,A1,0000,ZZ,Z01,A
FVC.Q.LU.N.O.LT1.A.1.A1.0000.ZZ.Z01.E,Q,LU,N,O,LT1,A,1,A1,0000,ZZ,Z01,E
FVC.Q.LU.N.O.LT1.A.4.A1.0000.ZZ.Z01.E,Q,LU,N,O,LT1,A,4,A1,0000,ZZ,Z01,E
FVC.Q.LU.N.R.A50.A.1.U2.2271.ZZ.Z01.E,Q,LU,N,R,A50,A,1,U2,2271,ZZ,Z01,E
FVC.Q.IT.N.T.L40.L.1.A1.0000.ZZ.Z01.E,Q,IT,N,T,L40,L,1,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.T.LT1.A.4.A1.0000.ZZ.Z01.E,Q,IT,N,T,LT1,A,4,A1,0000,ZZ,Z01,E
FVC.Q.LU.N.F.A30.A.1.A1.0000.ZZ.Z01.E,Q,LU,N,F,A30,A,1,A1,0000,ZZ,Z01,E
FVC.Q.LU.N.F.A30.A.4.U2.2000.ZZ.Z01.E,Q,LU,N,F,A30,A,4,U2,2000,ZZ,Z01,E
FVC.Q.LU.N.F.A50.A.4.U2.2271.ZZ.Z01.E,Q,LU,N,F,A50,A,4,U2,2271,ZZ,Z01,E
FVC.Q.LU.N.F.L40.H.4.A1.0000.ZZ.Z01.E,Q,LU,N,F,L40,H,4,A1,0000,ZZ,Z01,E
FVC.Q.LU.N.F.LT1.A.4.A1.0000.ZZ.Z01.E,Q,LU,N,F,LT1,A,4,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.S.L40.H.1.A1.0000.ZZ.Z01.E,Q,IT,N,S,L40,H,1,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.S.LT1.A.1.A1.0000.ZZ.Z01.E,Q,IT,N,S,LT1,A,1,A1,0000,ZZ,Z01,E
FVC.Q.AT.N.F.A10.A.1.U2.1000.ZZ.Z01.E,Q,AT,N,F,A10,A,1,U2,1000,ZZ,Z01,E
FVC.Q.AT.N.F.A20.A.4.U6.2250.E1.Z01.E,Q,AT,N,F,A20,A,4,U6,2250,E1,Z01,E
FVC.Q.AT.N.F.L20.A.1.A1.0000.ZZ.Z01.E,Q,AT,N,F,L20,A,1,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.T.A30.A.1.U2.2271.ZZ.Z01.E,Q,IT,N,T,A30,A,1,U2,2271,ZZ,Z01,E
FVC.Q.IT.N.T.A30.A.4.A1.0000.ZZ.Z01.E,Q,IT,N,T,A30,A,4,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.T.A30.A.4.U2.2000.ZZ.Z01.E,Q,IT,N,T,A30,A,4,U2,2000,ZZ,Z01,E
FVC.Q.IT.N.T.A50.A.4.U2.2271.ZZ.Z01.E,Q,IT,N,T,A50,A,4,U2,2271,ZZ,Z01,E
FVC.Q.IT.N.T.L40.A.4.A1.0000.ZZ.Z01.E,Q,IT,N,T,L40,A,4,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.R.L20.A.1.A1.0000.ZZ.Z01.E,Q,IT,N,R,L20,A,1,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.T.A30.G.1.U2.0000.ZZ.Z01.E,Q,U2,N,T,A30,G,1,U2,0000,ZZ,Z01,E
FVC.Q.U2.N.T.A30.H.1.U6.2271.ZZ.Z01.E,Q,U2,N,T,A30,H,1,U6,2271,ZZ,Z01,E
FVC.Q.U2.N.T.A30.H.4.U2.1000.ZZ.Z01.E,Q,U2,N,T,A30,H,4,U2,1000,ZZ,Z01,E
FVC.Q.U2.N.T.A30.H.4.U6.0000.ZZ.Z01.E,Q,U2,N,T,A30,H,4,U6,0000,ZZ,Z01,E
FVC.Q.U2.N.T.L20.F.1.A1.0000.ZZ.Z01.E,Q,U2,N,T,L20,F,1,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.T.L20.K.4.A1.0000.ZZ.Z01.E,Q,U2,N,T,L20,K,4,A1,0000,ZZ,Z01,E
FVC.Q.LU.N.S.A10.A.1.U4.0000.ZZ.Z01.E,Q,LU,N,S,A10,A,1,U4,0000,ZZ,Z01,E
FVC.Q.LU.N.S.A10.F.1.U2.2271.ZZ.Z01.E,Q,LU,N,S,A10,F,1,U2,2271,ZZ,Z01,E
FVC.Q.LU.N.S.A20.A.1.U2.2200.00.Z01.E,Q,LU,N,S,A20,A,1,U2,2200,00,Z01,E
FVC.Q.LU.N.S.A20.A.1.U5.2240.00.Z01.E,Q,LU,N,S,A20,A,1,U5,2240,00,Z01,E
FVC.Q.LU.N.S.A20.A.4.A1.0000.E0.Z01.E,Q,LU,N,S,A20,A,4,A1,0000,E0,Z01,E
FVC.Q.LU.N.S.A20.A.4.U2.2240.E1.Z01.E,Q,LU,N,S,A20,A,4,U2,2240,E1,Z01,E
FVC.Q.LU.N.S.A20.A.4.U2.2270.00.Z01.E,Q,LU,N,S,A20,A,4,U2,2270,00,Z01,E
FVC.Q.LU.N.S.A20.A.4.U2.2270.E1.Z01.E,Q,LU,N,S,A20,A,4,U2,2270,E1,Z01,E
FVC.Q.LU.N.S.A20.A.4.U6.2240.E1.Z01.E,Q,LU,N,S,A20,A,4,U6,2240,E1,Z01,E
FVC.Q.U2.N.T.L40.G.1.A1.0000.ZZ.Z01.E,Q,U2,N,T,L40,G,1,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.T.L40.H.I.A1.0000.ZZ.Z01.E,Q,U2,N,T,L40,H,I,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.T.A20.A.1.U6.2240.00.Z01.E,Q,U2,N,T,A20,A,1,U6,2240,00,Z01,E
FVC.Q.U2.N.T.A20.A.1.U6.2240.E1.Z01.E,Q,U2,N,T,A20,A,1,U6,2240,E1,Z01,E
FVC.Q.U2.N.T.A20.A.4.U2.2100.E1.Z01.E,Q,U2,N,T,A20,A,4,U2,2100,E1,Z01,E
FVC.Q.U2.N.T.A20.A.4.U2.2200.E1.Z01.E,Q,U2,N,T,A20,A,4,U2,2200,E1,Z01,E
FVC.Q.IT.N.R.L40.L.1.A1.0000.ZZ.Z01.E,Q,IT,N,R,L40,L,1,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.S.A10.A.4.U2.2271.ZZ.Z01.E,Q,IT,N,S,A10,A,4,U2,2271,ZZ,Z01,E
FVC.Q.IT.N.S.A10.F.1.U5.2271.ZZ.Z01.E,Q,IT,N,S,A10,F,1,U5,2271,ZZ,Z01,E
FVC.Q.AT.N.O.A10.A.4.A1.0000.ZZ.Z01.E,Q,AT,N,O,A10,A,4,A1,0000,ZZ,Z01,E
FVC.Q.AT.N.O.A20.A.1.A1.0000.00.Z01.E,Q,AT,N,O,A20,A,1,A1,0000,00,Z01,E
FVC.Q.AT.N.O.A20.A.4.U6.2250.E1.Z01.E,Q,AT,N,O,A20,A,4,U6,2250,E1,Z01,E
FVC.Q.AT.N.O.A40.A.4.A1.0000.00.Z01.E,Q,AT,N,O,A40,A,4,A1,0000,00,Z01,E
FVC.Q.AT.N.R.A10.A.1.U5.2271.ZZ.Z01.E,Q,AT,N,R,A10,A,1,U5,2271,ZZ,Z01,E
FVC.Q.AT.N.R.A20.A.1.A1.0000.E0.Z01.E,Q,AT,N,R,A20,A,1,A1,0000,E0,Z01,E
FVC.Q.AT.N.R.A20.A.1.A1.0000.E1.Z01.E,Q,AT,N,R,A20,A,1,A1,0000,E1,Z01,E
FVC.Q.AT.N.R.A20.A.4.A1.0000.E0.Z01.E,Q,AT,N,R,A20,A,4,A1,0000,E0,Z01,E
FVC.Q.AT.N.R.A20.A.4.U5.2250.E1.Z01.E,Q,AT,N,R,A20,A,4,U5,2250,E1,Z01,E
FVC.Q.AT.N.R.A40.A.4.A1.0000.00.Z01.E,Q,AT,N,R,A40,A,4,A1,0000,00,Z01,E
FVC.Q.IT.N.O.A30.A.4.U2.2000.ZZ.Z01.E,Q,IT,N,O,A30,A,4,U2,2000,ZZ,Z01,E
FVC.Q.IT.N.R.A10.A.1.A1.0000.ZZ.Z01.E,Q,IT,N,R,A10,A,1,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.R.A10.A.4.U6.2271.ZZ.Z01.E,Q,IT,N,R,A10,A,4,U6,2271,ZZ,Z01,E
FVC.Q.IT.N.R.A10.F.1.U2.2271.ZZ.Z01.E,Q,IT,N,R,A10,F,1,U2,2271,ZZ,Z01,E
FVC.Q.IT.N.R.A10.F.4.U2.2271.ZZ.Z01.E,Q,IT,N,R,A10,F,4,U2,2271,ZZ,Z01,E
FVC.Q.IT.N.R.A10.F.4.U4.00NB.ZZ.Z01.E,Q,IT,N,R,A10,F,4,U4,00NB,ZZ,Z01,E
