KEY,FREQ,REF_AREA,ADJUSTMENT,FVC_REP_SECTOR,FVC_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,FVC_ORI_SECTOR,CURRENCY_TRANS,BS_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,UNIT_PRICE_BASE,AGG_EQUN,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,SOURCE_DETAIL,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
FVC.Q.ES.N.T.L20.F.1.A1.0000.ZZ.Z01.E,Q,ES,N,T,L20,F,1,A1,0000,ZZ,Z01,E,2018-Q1,150,P,F,,,P3M,E,,,,,,,,,,,0,,," Loans and deposits received reported by financial vehicle corporations engaged in traditional securitisation, stocks","Spain, Outstanding amounts at the end of the period (stocks), FVCs engaged in traditional securitisation reporting sector - Liabilities - Loans and deposits received, Up to 1 year maturity, All currencies combined - World (all entities) counterpart, Unspecified counterpart sector sector, Not applicable, denominated in Euro, data Neither seasonally nor working day adjusted",EUR,6
FVC.Q.ES.N.T.L20.F.1.A1.0000.ZZ.Z01.E,Q,ES,N,T,L20,F,1,A1,0000,ZZ,Z01,E,2018-Q2,206,P,F,,,P3M,E,,,,,,,,,,,0,,," Loans and deposits received reported by financial vehicle corporations engaged in traditional securitisation, stocks","Spain, Outstanding amounts at the end of the period (stocks), FVCs engaged in traditional securitisation reporting sector - Liabilities - Loans and deposits received, Up to 1 year maturity, All currencies combined - World (all entities) counterpart, Unspecified counterpart sector sector, Not applicable, denominated in Euro, data Neither seasonally nor working day adjusted",EUR,6
FVC.Q.ES.N.T.L20.F.1.A1.0000.ZZ.Z01.E,Q,ES,N,T,L20,F,1,A1,0000,ZZ,Z01,E,2018-Q3,241,A,F,,,P3M,E,,,,,,,,,,,0,,," Loans and deposits received reported by financial vehicle corporations engaged in traditional securitisation, stocks","Spain, Outstanding amounts at the end of the period (stocks), FVCs engaged in traditional securitisation reporting sector - Liabilities - Loans and deposits received, Up to 1 year maturity, All currencies combined - World (all entities) counterpart, Unspecified counterpart sector sector, Not applicable, denominated in Euro, data Neither seasonally nor working day adjusted",EUR,6
FVC.Q.ES.N.T.L20.F.1.A1.0000.ZZ.Z01.E,Q,ES,N,T,L20,F,1,A1,0000,ZZ,Z01,E,2018-Q4,253,A,F,,,P3M,E,,,,,,,,,,,0,,," Loans and deposits received reported by financial vehicle corporations engaged in traditional securitisation, stocks","Spain, Outstanding amounts at the end of the period (stocks), FVCs engaged in traditional securitisation reporting sector - Liabilities - Loans and deposits received, Up to 1 year maturity, All currencies combined - World (all entities) counterpart, Unspecified counterpart sector sector, Not applicable, denominated in Euro, data Neither seasonally nor working day adjusted",EUR,6
FVC.Q.ES.N.T.L20.F.1.A1.0000.ZZ.Z01.E,Q,ES,N,T,L20,F,1,A1,0000,ZZ,Z01,E,2019-Q1,217,A,F,,,P3M,E,,,,,,,,,,,0,,," Loans and deposits received reported by financial vehicle corporations engaged in traditional securitisation, stocks","Spain, Outstanding amounts at the end of the period (stocks), FVCs engaged in traditional securitisation reporting sector - Liabilities - Loans and deposits received, Up to 1 year maturity, All currencies combined - World (all entities) counterpart, Unspecified counterpart sector sector, Not applicable, denominated in Euro, data Neither seasonally nor working day adjusted",EUR,6
FVC.Q.ES.N.T.L20.F.1.A1.0000.ZZ.Z01.E,Q,ES,N,T,L20,F,1,A1,0000,ZZ,Z01,E,2019-Q2,390,A,F,,,P3M,E,,,,,,,,,,,0,,," Loans and deposits received reported by financial vehicle corporations engaged in traditional securitisation, stocks","Spain, Outstanding amounts at the end of the period (stocks), FVCs engaged in traditional securitisation reporting sector - Liabilities - Loans and deposits received, Up to 1 year maturity, All currencies combined - World (all entities) counterpart, Unspecified counterpart sector sector, Not applicable, denominated in Euro, data Neither seasonally nor working day adjusted",EUR,6
FVC.Q.ES.N.T.L20.F.1.A1.0000.ZZ.Z01.E,Q,ES,N,T,L20,F,1,A1,0000,ZZ,Z01,E,2019-Q3,251,A,F,,,P3M,E,,,,,,,,,,,0,,," Loans and deposits received reported by financial vehicle corporations engaged in traditional securitisation, stocks","Spain, Outstanding amounts at the end of the period (stocks), FVCs engaged in traditional securitisation reporting sector - Liabilities - Loans and deposits received, Up to 1 year maturity, All currencies combined - World (all entities) counterpart, Unspecified counterpart sector sector, Not applicable, denominated in Euro, data Neither seasonally nor working day adjusted",EUR,6
FVC.Q.ES.N.T.L20.F.1.A1.0000.ZZ.Z01.E,Q,ES,N,T,L20,F,1,A1,0000,ZZ,Z01,E,2019-Q4,276,A,F,,,P3M,E,,,,,,,,,,,0,,," Loans and deposits received reported by financial vehicle corporations engaged in traditional securitisation, stocks","Spain, Outstanding amounts at the end of the period (stocks), FVCs engaged in traditional securitisation reporting sector - Liabilities - Loans and deposits received, Up to 1 year maturity, All currencies combined - World (all entities) counterpart, Unspecified counterpart sector sector, Not applicable, denominated in Euro, data Neither seasonally nor working day adjusted",EUR,6
FVC.Q.ES.N.T.L20.F.1.A1.0000.ZZ.Z01.E,Q,ES,N,T,L20,F,1,A1,0000,ZZ,Z01,E,2020-Q1,174,A,F,,,P3M,E,,,,,,,,,,,0,,," Loans and deposits received reported by financial vehicle corporations engaged in traditional securitisation, stocks","Spain, Outstanding amounts at the end of the period (stocks), FVCs engaged in traditional securitisation reporting sector - Liabilities - Loans and deposits received, Up to 1 year maturity, All currencies combined - World (all entities) counterpart, Unspecified counterpart sector sector, Not applicable, denominated in Euro, data Neither seasonally nor working day adjusted",EUR,6
FVC.Q.ES.N.T.L20.F.1.A1.0000.ZZ.Z01.E,Q,ES,N,T,L20,F,1,A1,0000,ZZ,Z01,E,2020-Q2,183,A,F,,,P3M,E,,,,,,,,,,,0,,," Loans and deposits received reported by financial vehicle corporations engaged in traditional securitisation, stocks","Spain, Outstanding amounts at the end of the period (stocks), FVCs engaged in traditional securitisation reporting sector - Liabilities - Loans and deposits received, Up to 1 year maturity, All currencies combined - World (all entities) counterpart, Unspecified counterpart sector sector, Not applicable, denominated in Euro, data Neither seasonally nor working day adjusted",EUR,6
